,seeds,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,angry,4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447
1,angry,3fOc9x06lKJBhz435mInlH,0.249,0.949,2,-2.642,0,0.0678,0.00131,0.0228,0.0953,0.498,185.252
2,angry,3Y96xd4Ce0J47dcalLrEC8,0.668,0.787,1,-4.226,1,0.0429,0.109,0,0.21,0.478,100.059
3,angry,6tqFC1DIOphJkCwrjVzPmg,0.805,0.918,9,-4.554,1,0.212,0.0493,0,0.0691,0.713,125.984
4,angry,5bU4KX47KqtDKKaLM4QCzh,0.657,0.96,5,-3.524,0,0.07,0.00169,0.000997,0.109,0.567,126.02
5,angry,4Q1w4Ryyi8KNxxaFlOQClK,0.431,0.962,6,-3.269,1,0.0789,8.34E-06,5.04E-06,0.321,0.585,156.103
6,angry,49fT6owWuknekShh9utsjv,0.811,0.566,8,-6.033,0,0.517,0.563,0,0.104,0.169,100.224
7,angry,6DoXuH326aAYEN8CnlLmhP,0.431,0.906,9,-6.13,1,0.0945,0.0001,0.0001,0.123,0.53,125.459
8,angry,104YdibC7VQy78xAVmgRYr,0.771,0.515,9,-10.456,0,0.0499,0.116,0.000168,0.405,0.343,119.961
9,angry,5fU6qjmD38P90BMsuqpiuU,0.479,0.913,0,-5.335,1,0.0625,0.00114,0.000107,0.226,0.413,93.213
10,angry,1qxkzHlZBXFv5HfyYqJ8cy,0.147,0.958,1,-13.427,1,0.107,0.0957,0.972,0.893,0.0368,137.829
11,angry,2ZIJUwprFZrAaZCRKYfAno,0.45,0.955,6,-3.62,0,0.0593,2.37E-05,0.00374,0.367,0.588,174.017
12,angry,6xK3sBdRm99g9T8Ov0gjdF,0.18,0.982,5,-4.691,1,0.31,1.36E-05,0.792,0.331,0.0767,81.75
13,angry,62wtttQzoIA9HnNmGVd9Yq,0.442,0.807,6,-4.753,1,0.265,0.0158,6.43E-06,0.217,0.446,84.649
14,angry,3DaC3oRpGInTU0x8DvdSGp,0.467,0.738,1,-13.983,0,0.104,0.0279,0.00384,0.0697,0.317,112.325
15,angry,0DxYrFOfiFShTbO2XdFpBX,0.284,0.99,2,-2.981,1,0.128,5.63E-05,0.00206,0.135,0.166,122.95
16,angry,7EZlzu01NzbR1jWEIDSk5T,0.362,0.961,11,-14.711,0,0.108,0.331,0.00187,0.623,0.137,101.931
17,angry,1jRzdY7oUBOhrylNtiMtBD,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054
18,angry,2tdzFXOsJLLI20QdnSqxr1,0.162,0.858,6,-4.601,0,0.0672,0.0028,0.306,0.316,0.0366,150.862
19,angry,1Nvy8JAL3DrO0a6xdgJSvv,0.315,0.798,7,-7.307,1,0.0441,5.94E-05,0.303,0.372,0.16,109.753
20,angry,3RwomkUaNHS0gFs3QqgudU,0.432,0.659,10,-5.389,1,0.0505,0.386,0,0.289,0.799,78.989
21,angry,46sqkKk663MiT1u0WHLQKF,0.773,0.512,2,-3.845,1,0.0887,0.141,0,0.0712,0.721,139.034
22,angry,35BOEtOvV1qwzjblSKcPJ1,0.333,0.712,2,-15.726,1,0.103,0.305,0.95,0.359,0.0279,112.776
23,angry,6Xpm4ajdj9SkiP08JKg3vK,0.553,0.963,11,-5.286,1,0.117,3.27E-05,0.0108,0.0357,0.523,95.015
24,angry,6D69DWilPEsY2TqayoB7x5,0.261,0.908,1,-13.069,1,0.082,0.17,0.901,0.498,0.276,119.51
25,angry,1V6qst2zfwpooDT1lfvDis,0.527,0.825,6,-6.771,1,0.0861,0.00309,3.63E-06,0.364,0.192,175.765
26,angry,0zc4RPw8fXQSVCM5HQnUGU,0.378,0.967,5,-4.67,0,0.0683,0.00152,0,0.116,0.552,100.439
27,angry,2ZhswJTKMkNNTAjrTmPhOJ,0.417,0.976,2,-4.696,0,0.0665,0.000351,0.000117,0.074,0.463,186.081
28,angry,2yxAAU2xKo2Z04Se01J4Bq,0.495,0.989,6,-4.93,1,0.0531,7.08E-06,0.864,0.148,0.438,130.037
29,angry,3DV0DO7GweUc75R38P6mOe,0.437,0.973,8,-7.42,1,0.0696,0.00103,0.0011,0.027,0.265,102.433
30,angry,5pzZT3IG4TFxSlmhknYWes,0.513,0.843,10,-6.819,1,0.0527,0.00022,0.000493,0.93,0.349,129.99
31,angry,3GiJq4AQK7324mfIQbpiTf,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066
32,angry,7HFCovMwZIinGBpoZyUsKC,0.503,0.895,7,-6.228,1,0.0436,2.37E-05,0.0354,0.319,0.211,93.953
33,angry,5DoTRJlzMaGAMHPTDrfvfW,0.565,0.968,1,-5.165,1,0.0568,1.33E-05,0.188,0.089,0.693,108.003
34,angry,5j7eOw6dm05O98hHTb58IY,0.477,0.522,3,-7.686,0,0.111,0.443,0,0.0961,0.448,90.309
35,angry,7jmIBvIkPcAR6yzbR7YsJH,0.327,0.961,1,-10.603,0,0.0533,0.00446,0.00939,0.308,0.31,107.484
36,angry,5o9jJ0aRyn7WswL4giBmMB,0.582,0.543,0,-9.081,0,0.495,0.764,3.72E-06,0.349,0.56,196.18
37,angry,2BdKFeg6MvTXBt51AE0QKc,0.469,0.821,11,-7.369,0,0.0354,0.0884,0.00443,0.365,0.856,95.511
38,angry,6kapmatG5ez3ceZ3dm3DdZ,0.547,0.913,0,-2.017,1,0.0858,0.000993,1.46E-06,0.258,0.417,105.765
39,angry,7dMxExgNTBSHqNV0V4WKQW,0.651,0.702,2,-6.632,1,0.082,0.125,4.92E-05,0.104,0.559,107.149
40,angry,4P8L7wvirsteaEjx4ZdSvd,0.512,0.591,0,-9.688,0,0.0447,0.733,0.00045,0.147,0.525,111.268
41,angry,0RLIAMJ8EAxiN2Q8jKKNLW,0.608,0.967,4,-3.936,1,0.164,0.00144,0.00104,0.387,0.81,117.269
42,angry,1ED6dMdVwXGkXAjsJdk5f0,0.171,0.949,2,-15.105,1,0.201,0.000105,0.562,0.532,0.055,106.971
43,angry,7n6DnNdKKhjyDa1GlGgLeQ,0.814,0.877,1,-7.134,0,0.153,0.0866,7.62E-05,0.277,0.579,111.179
44,angry,2H9CKpZiLDF223BbwehpDF,0.613,0.778,10,-3.933,0,0.0689,0.0985,0,0.356,0.626,129.483
45,angry,7uo6kqaAnymdnkwub1jxBR,0.389,0.969,7,-3.281,1,0.256,0.000278,7.92E-05,0.485,0.291,84.016
46,angry,1VY409A6iWgta1FPxteEUK,0.274,0.47,9,-2.816,0,0.0777,0.00013,5.64E-05,0.289,0.138,140.281
47,angry,60nriFcKARUpnYksJkDqJR,0.576,0.82,4,-9.387,1,0.113,0.0144,0.739,0.2,0.445,91.208
48,angry,5aInZf4Xe3NSAFdOBfzs8G,0.753,0.816,6,-6.539,0,0.121,0.133,0,0.187,0.754,107.956
49,angry,1qVRv7ydm4sMj9aX5VYuN4,0.23,0.965,3,-5.016,1,0.127,0.000119,0.00791,0.386,0.254,97.817
50,angry,68Gzj05pLDpnleA77r6QGK,0.633,0.795,2,-5.132,1,0.0956,0.00961,0,0.28,0.333,146.804
51,angry,5x5nJm3ZLs6T1vrFT2IiTE,0.131,0.852,2,-7.635,1,0.0646,2.67E-05,0.908,0.352,0.252,144.461
52,angry,4mmFg7XCbVhPipfZn43AfV,0.646,0.623,7,-6.368,1,0.0748,0.0736,0.000284,0.221,0.669,106.667
53,angry,14CVBGaoD5k3VC9Qmz5imZ,0.683,0.756,2,-7.496,1,0.0439,5.15E-05,0.42,0.722,0.646,129.926
54,angry,3bbVPVAL3ulmu3kNGJ9EDF,0.617,0.688,7,-10.82,1,0.13,0.0122,0.0173,0.0629,0.269,86.769
55,angry,3sDOdE1zP6Ail3q5wBUoZR,0.46,0.834,5,-7.861,0,0.0428,0.00472,0.846,0.0624,0.234,85.556
56,angry,3EQGVx92eRnUjptgNnKFr5,0.298,0.926,1,-7.177,1,0.103,0.000559,0.235,0.127,0.119,146.779
57,angry,4DuE7W3HEq037BuHzas2Ym,0.318,0.879,1,-9.102,1,0.0766,0.000131,0.272,0.0756,0.309,95.456
58,angry,6yU0SkbZRmu8WUKAEFhsRa,0.307,0.91,7,-5.446,1,0.261,0.000495,1.02E-05,0.119,0.828,172.16
59,angry,65CWoT7I7N0bHxzuXujYdm,0.0771,0.985,10,-4.026,1,0.095,5.28E-06,0.0508,0.273,0.0736,173.289
60,angry,3p7Lr8Kpy0imLB1yalPgQu,0.32,0.912,1,-3.123,1,0.0407,0.000242,0.000226,0.177,0.566,153.885
61,angry,2JJd2Nq3P3akG3ah4mT07h,0.553,0.864,4,-4.584,1,0.144,0.000158,6.88E-05,0.961,0.189,121.007
62,angry,3mtQQLpGwnIuYMgGADBlGz,0.48,0.978,1,-9.465,0,0.0545,0.000309,0.0146,0.329,0.12,101.955
63,angry,1mgkZJY7MkVHn2bvMvpWCX,0.554,0.752,9,-5.346,0,0.0379,0.0112,1.01E-05,0.118,0.303,118.994
64,angry,6JKkhN4ZnwoinLatQOUHG4,0.213,0.996,9,-3.276,1,0.101,7.12E-05,0.00182,0.591,0.0409,152.142
65,angry,4ix4xoMPPOo8H43TG1DQA1,0.356,0.944,1,-2.706,1,0.0897,0.0124,4.77E-05,0.316,0.46,76.552
66,angry,51XrhhPlt1smLatJgcBrUb,0.551,0.915,1,-5.178,1,0.0688,0.011,0.0011,0.187,0.573,170.303
67,angry,5JEFYrZighZ4yqzWfyBRNh,0.572,0.929,5,-4.824,1,0.0931,0.000437,0.000976,0.197,0.18,138.05
68,angry,5RbTA4fyEZjDfhM3bYgPOI,0.526,0.935,8,-3.645,1,0.0545,1.50E-05,0.00442,0.177,0.805,95.01
69,angry,6PiuN9kO8W7W2pv5h67uCF,0.559,0.932,1,-5.224,0,0.141,0.000768,7.54E-05,0.148,0.318,132.471
70,angry,1j6lrR4BzRGKwvAPfrIcbf,0.606,0.9,6,-5.168,1,0.0547,0.000508,0.901,0.112,0.115,140.035
71,angry,1XWWlu64sNi9jqktYeKH8O,0.36,0.913,6,-3.462,0,0.12,0.000162,0.915,0.504,0.566,123.914
72,angry,4DgsvJNNGvV5WPQ40qR3R8,0.368,0.981,3,-3.052,1,0.123,0.0104,0.00317,0.262,0.281,142.479
73,angry,1UKOgSwVAFcnDEsYYOlyV1,0.623,0.973,2,-6.028,1,0.0627,0.0439,0.844,0.144,0.727,135.583
74,angry,2QecHpp1nzPMwo95fwxZ9h,0.532,0.953,8,-5.667,1,0.0394,0.000104,0.00765,0.119,0.485,142.016
75,angry,7upJI4tZAZ9H7k6Egqw0mG,0.704,0.886,3,-4.338,0,0.0684,0.275,0,0.186,0.759,117.988
76,angry,2z2qTST29C0jxdCGjlqVNE,0.414,0.903,7,-10.392,1,0.0583,6.43E-05,0.00746,0.0776,0.727,90.969
77,angry,1nrWrZkGdSqz3UaDkv3Z35,0.206,0.982,6,-3.651,0,0.29,0.000472,0.000886,0.313,0.119,155.361
78,angry,6uBWlHNKcK1P8FDlPPd94u,0.469,0.994,6,-3.702,1,0.193,7.44E-05,0.591,0.15,0.232,110.382
79,angry,2TxYbRGmKGbVnSFRWlp1Qx,0.494,0.969,11,-3.695,1,0.144,1.54E-05,0.00255,0.363,0.476,126.013
80,angry,78mZbakIUOomWVdIK5xAlc,0.49,0.82,1,-11.444,1,0.216,0.677,0.0484,0.0956,0.71,99.476
